word,classification,confidence,reason
एैसी,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
अचानक्,INCORRECT,HIGH,Suspicious: ends with halant
असली...,INCORRECT,HIGH,Invalid: triple character repetition
हम्ममम.,INCORRECT,HIGH,Invalid: triple character repetition
पल्,INCORRECT,HIGH,Suspicious: ends with halant
पहुुंचेगा,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
विजन्,INCORRECT,HIGH,Suspicious: ends with halant
आपका...,INCORRECT,HIGH,Invalid: triple character repetition
गेम्,INCORRECT,HIGH,Suspicious: ends with halant
ओह्ह्,INCORRECT,HIGH,Suspicious: ends with halant
प्रैक्,INCORRECT,HIGH,Suspicious: ends with halant
सुूना,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
बहुुत,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
उममम,INCORRECT,HIGH,Invalid: triple character repetition
बेहस्,INCORRECT,HIGH,Suspicious: ends with halant
बृहस्,INCORRECT,HIGH,Suspicious: ends with halant
रुत्,INCORRECT,HIGH,Suspicious: ends with halant
प्रतिबत्,INCORRECT,HIGH,Suspicious: ends with halant
हमम.हमम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
माेंडन,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हमम्ममम.,INCORRECT,HIGH,Invalid: triple character repetition
हार्,INCORRECT,HIGH,Suspicious: ends with halant
ब्रह्,INCORRECT,HIGH,Suspicious: ends with halant
रिस्,INCORRECT,HIGH,Suspicious: ends with halant
वो्,INCORRECT,HIGH,Suspicious: ends with halant
कॉलीगस्,INCORRECT,HIGH,Suspicious: ends with halant
वाहिकल्,INCORRECT,HIGH,Suspicious: ends with halant
टफ्,INCORRECT,HIGH,Suspicious: ends with halant
निभर्र्,INCORRECT,HIGH,Suspicious: ends with halant
चखतेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
आइट्,INCORRECT,HIGH,Suspicious: ends with halant
भरतनाट्यम्,INCORRECT,HIGH,Suspicious: ends with halant
इंस्ट्रूमेंट्,INCORRECT,HIGH,Suspicious: ends with halant
स्टेशन्,INCORRECT,HIGH,Suspicious: ends with halant
टास्,INCORRECT,HIGH,Suspicious: ends with halant
लेकर्,INCORRECT,HIGH,Suspicious: ends with halant
स्टेट्,INCORRECT,HIGH,Suspicious: ends with halant
कट्,INCORRECT,HIGH,Suspicious: ends with halant
ट्वूेंटी,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हमलाेग,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हंह्,INCORRECT,HIGH,Suspicious: ends with halant
कज़्न्,INCORRECT,HIGH,Suspicious: ends with halant
विश्णुपत्,INCORRECT,HIGH,Suspicious: ends with halant
बर्,INCORRECT,HIGH,Suspicious: ends with halant
दट्,INCORRECT,HIGH,Suspicious: ends with halant
काउल्,INCORRECT,HIGH,Suspicious: ends with halant
तब्यात्,INCORRECT,HIGH,Suspicious: ends with halant
गाव्,INCORRECT,HIGH,Suspicious: ends with halant
एस्,INCORRECT,HIGH,Suspicious: ends with halant
हम्मम्,INCORRECT,HIGH,Suspicious: ends with halant
हं.हहहा,INCORRECT,HIGH,Invalid: triple character repetition
फाइवसिक्स्,INCORRECT,HIGH,Suspicious: ends with halant
डिस्कस्,INCORRECT,HIGH,Suspicious: ends with halant
दिलीप्,INCORRECT,HIGH,Suspicious: ends with halant
चीपएस्ट्,INCORRECT,HIGH,Suspicious: ends with halant
हैज्,INCORRECT,HIGH,Suspicious: ends with halant
आशीर्,INCORRECT,HIGH,Suspicious: ends with halant
पब्,INCORRECT,HIGH,Suspicious: ends with halant
काेंचिग,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हैलाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
नुक्,INCORRECT,HIGH,Suspicious: ends with halant
प्राप्,INCORRECT,HIGH,Suspicious: ends with halant
हआंव्,INCORRECT,HIGH,Suspicious: ends with halant
डब्,INCORRECT,HIGH,Suspicious: ends with halant
मेैम,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
वेल्,INCORRECT,HIGH,Suspicious: ends with halant
हूंममम,INCORRECT,HIGH,Invalid: triple character repetition
टिकेटस्,INCORRECT,HIGH,Suspicious: ends with halant
आत्म्,INCORRECT,HIGH,Suspicious: ends with halant
सृजाम्यहम्,INCORRECT,HIGH,Suspicious: ends with halant
हाउसवाइफस्,INCORRECT,HIGH,Suspicious: ends with halant
माेमबत्तियां,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हहहह.सही,INCORRECT,HIGH,Invalid: triple character repetition
रेशीयम्,INCORRECT,HIGH,Suspicious: ends with halant
उर्,INCORRECT,HIGH,Suspicious: ends with halant
फूडस्,INCORRECT,HIGH,Suspicious: ends with halant
हहहहाहाहा,INCORRECT,HIGH,Invalid: triple character repetition
सपउझ़्,INCORRECT,HIGH,Suspicious: ends with halant
डिसिप्,INCORRECT,HIGH,Suspicious: ends with halant
काफ्,INCORRECT,HIGH,Suspicious: ends with halant
पतेर्,INCORRECT,HIGH,Suspicious: ends with halant
हममम्म,INCORRECT,HIGH,Invalid: triple character repetition
हमकाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
"सर,बिल्",INCORRECT,HIGH,Suspicious: ends with halant
सेमेेटे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
युद्,INCORRECT,HIGH,Suspicious: ends with halant
खूूब,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
क्वाटर्,INCORRECT,HIGH,Suspicious: ends with halant
खिक्,INCORRECT,HIGH,Suspicious: ends with halant
किलियर्,INCORRECT,HIGH,Suspicious: ends with halant
ऐऐऐऐ,INCORRECT,HIGH,Invalid: triple character repetition
एक्साम्पल्,INCORRECT,HIGH,Suspicious: ends with halant
मूश्श्,INCORRECT,HIGH,Suspicious: ends with halant
टॉउन्स्,INCORRECT,HIGH,Suspicious: ends with halant
मंदिर्,INCORRECT,HIGH,Suspicious: ends with halant
हअअअ.,INCORRECT,HIGH,Invalid: triple character repetition
चूज्,INCORRECT,HIGH,Suspicious: ends with halant
रेलवेे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
इस्ट्रेस्,INCORRECT,HIGH,Suspicious: ends with halant
इंस्टुमेंट्,INCORRECT,HIGH,Suspicious: ends with halant
रस्,INCORRECT,HIGH,Suspicious: ends with halant
हअअअ,INCORRECT,HIGH,Invalid: triple character repetition
"है,हम्म्",INCORRECT,HIGH,Suspicious: ends with halant
भूूल,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
कीों,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ज़ज्,INCORRECT,HIGH,Suspicious: ends with halant
बेस्ट्,INCORRECT,HIGH,Suspicious: ends with halant
हममम.,INCORRECT,HIGH,Invalid: triple character repetition
सच्चिन्,INCORRECT,HIGH,Suspicious: ends with halant
जस्ट्,INCORRECT,HIGH,Suspicious: ends with halant
समाज्,INCORRECT,HIGH,Suspicious: ends with halant
अअअह,INCORRECT,HIGH,Invalid: triple character repetition
एैसे,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
व्यक्तिगत्,INCORRECT,HIGH,Suspicious: ends with halant
समर्,INCORRECT,HIGH,Suspicious: ends with halant
गर्लफ्रैंड्,INCORRECT,HIGH,Suspicious: ends with halant
हहहहओ,INCORRECT,HIGH,Invalid: triple character repetition
गर्ल्,INCORRECT,HIGH,Suspicious: ends with halant
।हम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
एै,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
हहहा,INCORRECT,HIGH,Invalid: triple character repetition
तेरह्,INCORRECT,HIGH,Suspicious: ends with halant
हहहहु,INCORRECT,HIGH,Invalid: triple character repetition
हुंह्,INCORRECT,HIGH,Suspicious: ends with halant
सजेस्चन्,INCORRECT,HIGH,Suspicious: ends with halant
हुड्,INCORRECT,HIGH,Suspicious: ends with halant
डायेरेक्ट्,INCORRECT,HIGH,Suspicious: ends with halant
प्रवेश्,INCORRECT,HIGH,Suspicious: ends with halant
बिल्क्,INCORRECT,HIGH,Suspicious: ends with halant
सिक्,INCORRECT,HIGH,Suspicious: ends with halant
अव्,INCORRECT,HIGH,Suspicious: ends with halant
भांग्,INCORRECT,HIGH,Suspicious: ends with halant
चिन्ह्,INCORRECT,HIGH,Suspicious: ends with halant
फेमस्,INCORRECT,HIGH,Suspicious: ends with halant
गर्,INCORRECT,HIGH,Suspicious: ends with halant
वाैसम,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
किलिप्,INCORRECT,HIGH,Suspicious: ends with halant
उउउउ,INCORRECT,HIGH,Invalid: triple character repetition
एसडीूल,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
मोनकाेली,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
कॉलिंस्,INCORRECT,HIGH,Suspicious: ends with halant
बिक्,INCORRECT,HIGH,Suspicious: ends with halant
आगेस्,INCORRECT,HIGH,Suspicious: ends with halant
सप्लिमेंट्,INCORRECT,HIGH,Suspicious: ends with halant
हैह्म्म्,INCORRECT,HIGH,Suspicious: ends with halant
राेज,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
इंपासीबल्,INCORRECT,HIGH,Suspicious: ends with halant
नहीं।हम्,INCORRECT,HIGH,Suspicious: ends with halant
अनप्लांड्,INCORRECT,HIGH,Suspicious: ends with halant
क्लॉक्,INCORRECT,HIGH,Suspicious: ends with halant
स्कूलस्,INCORRECT,HIGH,Suspicious: ends with halant
",धन्यवाद्",INCORRECT,HIGH,Suspicious: ends with halant
कांस्सिओस्,INCORRECT,HIGH,Suspicious: ends with halant
नाइन्थ़्,INCORRECT,HIGH,Suspicious: ends with halant
एट्थ़्,INCORRECT,HIGH,Suspicious: ends with halant
लैंग्वेजस्,INCORRECT,HIGH,Suspicious: ends with halant
चीजाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
यह्,INCORRECT,HIGH,Suspicious: ends with halant
समयोजित्,INCORRECT,HIGH,Suspicious: ends with halant
एड्जस्टमेंट्,INCORRECT,HIGH,Suspicious: ends with halant
पंचुवल्,INCORRECT,HIGH,Suspicious: ends with halant
मध्,INCORRECT,HIGH,Suspicious: ends with halant
प्रसन्,INCORRECT,HIGH,Suspicious: ends with halant
इंस्पायर्,INCORRECT,HIGH,Suspicious: ends with halant
डिसकस्,INCORRECT,HIGH,Suspicious: ends with halant
कालिंग्,INCORRECT,HIGH,Suspicious: ends with halant
फ़ाइव़्,INCORRECT,HIGH,Suspicious: ends with halant
अंह्,INCORRECT,HIGH,Suspicious: ends with halant
बैह्,INCORRECT,HIGH,Suspicious: ends with halant
बेेंक,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
होंगेा,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
मैा,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ऐऐऐ,INCORRECT,HIGH,Invalid: triple character repetition
एटलीस्,INCORRECT,HIGH,Suspicious: ends with halant
उसम्,INCORRECT,HIGH,Suspicious: ends with halant
टेलीफिल्,INCORRECT,HIGH,Suspicious: ends with halant
अच्छेसेव्,INCORRECT,HIGH,Suspicious: ends with halant
लद्,INCORRECT,HIGH,Suspicious: ends with halant
इसमेें,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
बोझ्,INCORRECT,HIGH,Suspicious: ends with halant
पैश्न्,INCORRECT,HIGH,Suspicious: ends with halant
बन्द्,INCORRECT,HIGH,Suspicious: ends with halant
एडवांस्,INCORRECT,HIGH,Suspicious: ends with halant
डेज्,INCORRECT,HIGH,Suspicious: ends with halant
ववव,INCORRECT,HIGH,Invalid: triple character repetition
पूूजा,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
अअअपूछते,INCORRECT,HIGH,Invalid: triple character repetition
होत्,INCORRECT,HIGH,Suspicious: ends with halant
ख़ाद्,INCORRECT,HIGH,Suspicious: ends with halant
वैकेन्,INCORRECT,HIGH,Suspicious: ends with halant
वॉर्ड्,INCORRECT,HIGH,Suspicious: ends with halant
कटप्,INCORRECT,HIGH,Suspicious: ends with halant
डैड्,INCORRECT,HIGH,Suspicious: ends with halant
शेट्,INCORRECT,HIGH,Suspicious: ends with halant
बाेलाे।,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हुन्ननन,INCORRECT,HIGH,Invalid: triple character repetition
सेलेक्ट्,INCORRECT,HIGH,Suspicious: ends with halant
छुट्टीयाें,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
इस्क्,INCORRECT,HIGH,Suspicious: ends with halant
हूम्ममम,INCORRECT,HIGH,Invalid: triple character repetition
हुँम्,INCORRECT,HIGH,Suspicious: ends with halant
रीडस्,INCORRECT,HIGH,Suspicious: ends with halant
प्रतिष्,INCORRECT,HIGH,Suspicious: ends with halant
अध्यात्,INCORRECT,HIGH,Suspicious: ends with halant
कैरेक्टर्,INCORRECT,HIGH,Suspicious: ends with halant
फिफ्,INCORRECT,HIGH,Suspicious: ends with halant
सीनियर्,INCORRECT,HIGH,Suspicious: ends with halant
जूनियर्,INCORRECT,HIGH,Suspicious: ends with halant
इस्टाफ्,INCORRECT,HIGH,Suspicious: ends with halant
प्रैक्टिस्,INCORRECT,HIGH,Suspicious: ends with halant
देवेलपमेंट्,INCORRECT,HIGH,Suspicious: ends with halant
डिस्ट्रिक्,INCORRECT,HIGH,Suspicious: ends with halant
प्ल्,INCORRECT,HIGH,Suspicious: ends with halant
मतल्,INCORRECT,HIGH,Suspicious: ends with halant
प्रोजेक्टसन्,INCORRECT,HIGH,Suspicious: ends with halant
फ्रेश्,INCORRECT,HIGH,Suspicious: ends with halant
लक्ष्,INCORRECT,HIGH,Suspicious: ends with halant
उन्होेंने,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
अन्द्,INCORRECT,HIGH,Suspicious: ends with halant
एकसाम्,INCORRECT,HIGH,Suspicious: ends with halant
टालक्,INCORRECT,HIGH,Suspicious: ends with halant
",अअअअ",INCORRECT,HIGH,Invalid: triple character repetition
फ्म्,INCORRECT,HIGH,Suspicious: ends with halant
हेल्प्,INCORRECT,HIGH,Suspicious: ends with halant
अहहहहह,INCORRECT,HIGH,Invalid: triple character repetition
त्योहार्,INCORRECT,HIGH,Suspicious: ends with halant
फिजिक्,INCORRECT,HIGH,Suspicious: ends with halant
हूम्,INCORRECT,HIGH,Suspicious: ends with halant
इम्पोर्टेन्,INCORRECT,HIGH,Suspicious: ends with halant
अवव्,INCORRECT,HIGH,Suspicious: ends with halant
ममम्मी।,INCORRECT,HIGH,Invalid: triple character repetition
वैरायटीस्,INCORRECT,HIGH,Suspicious: ends with halant
हुँहहहहहह,INCORRECT,HIGH,Invalid: triple character repetition
",अअअ",INCORRECT,HIGH,Invalid: triple character repetition
जजजै,INCORRECT,HIGH,Invalid: triple character repetition
जीक्,INCORRECT,HIGH,Suspicious: ends with halant
पियाेर,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ट्रेनिंगस्,INCORRECT,HIGH,Suspicious: ends with halant
कैम्,INCORRECT,HIGH,Suspicious: ends with halant
कबार्,INCORRECT,HIGH,Suspicious: ends with halant
ससस,INCORRECT,HIGH,Invalid: triple character repetition
टाइप्,INCORRECT,HIGH,Suspicious: ends with halant
स्लेेबस,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ऐअअअ,INCORRECT,HIGH,Invalid: triple character repetition
छबिस्,INCORRECT,HIGH,Suspicious: ends with halant
पार्टिंज्,INCORRECT,HIGH,Suspicious: ends with halant
हुहुहुहुहुहहहहह,INCORRECT,HIGH,Invalid: triple character repetition
देखिेये,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
"हहहह,",INCORRECT,HIGH,Invalid: triple character repetition
पिंटरेस्ट्,INCORRECT,HIGH,Suspicious: ends with halant
छेेतर,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
चुनूौतियां,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ऊर्,INCORRECT,HIGH,Suspicious: ends with halant
केलशियम्,INCORRECT,HIGH,Suspicious: ends with halant
ह्ल्,INCORRECT,HIGH,Suspicious: ends with halant
अह्ह्ह्,INCORRECT,HIGH,Suspicious: ends with halant
पोहुछ्,INCORRECT,HIGH,Suspicious: ends with halant
टेक्स्,INCORRECT,HIGH,Suspicious: ends with halant
जेन्,INCORRECT,HIGH,Suspicious: ends with halant
पैरंट्,INCORRECT,HIGH,Suspicious: ends with halant
सासससुर,INCORRECT,HIGH,Invalid: triple character repetition
बरदास्,INCORRECT,HIGH,Suspicious: ends with halant
खरीद्,INCORRECT,HIGH,Suspicious: ends with halant
एकार्डिग्,INCORRECT,HIGH,Suspicious: ends with halant
स्टैंडर्,INCORRECT,HIGH,Suspicious: ends with halant
सरप्राइज़्,INCORRECT,HIGH,Suspicious: ends with halant
प्याेरता,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
इअम्,INCORRECT,HIGH,Suspicious: ends with halant
हहहहत,INCORRECT,HIGH,Invalid: triple character repetition
हूंहहह,INCORRECT,HIGH,Invalid: triple character repetition
प्रेफर्,INCORRECT,HIGH,Suspicious: ends with halant
एएएलएलिफेंट,INCORRECT,HIGH,Invalid: triple character repetition
ममममम,INCORRECT,HIGH,Invalid: triple character repetition
संस्क्,INCORRECT,HIGH,Suspicious: ends with halant
स्टेशनस्,INCORRECT,HIGH,Suspicious: ends with halant
दूसराें,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
भोलेन्,INCORRECT,HIGH,Suspicious: ends with halant
उउउमम,INCORRECT,HIGH,Invalid: triple character repetition
उउउउम,INCORRECT,HIGH,Invalid: triple character repetition
बॉक्,INCORRECT,HIGH,Suspicious: ends with halant
हह्म्म्,INCORRECT,HIGH,Suspicious: ends with halant
"२०००,१०००",INCORRECT,HIGH,Invalid: triple character repetition
समय्,INCORRECT,HIGH,Suspicious: ends with halant
ग्राेक,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हबिचुअल्,INCORRECT,HIGH,Suspicious: ends with halant
ऊॅंट,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
लगाव्,INCORRECT,HIGH,Suspicious: ends with halant
हनन्,INCORRECT,HIGH,Suspicious: ends with halant
पह्,INCORRECT,HIGH,Suspicious: ends with halant
हान्,INCORRECT,HIGH,Suspicious: ends with halant
केम्,INCORRECT,HIGH,Suspicious: ends with halant
हमममहह,INCORRECT,HIGH,Invalid: triple character repetition
डारेयक्ट्,INCORRECT,HIGH,Suspicious: ends with halant
आॉटो,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
दिन्,INCORRECT,HIGH,Suspicious: ends with halant
काॅॅलेेज,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
रिप्,INCORRECT,HIGH,Suspicious: ends with halant
टोप्,INCORRECT,HIGH,Suspicious: ends with halant
अहहहहहहं,INCORRECT,HIGH,Invalid: triple character repetition
जीे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
उमममम।,INCORRECT,HIGH,Invalid: triple character repetition
प्राइज्,INCORRECT,HIGH,Suspicious: ends with halant
फ़िज़िक्,INCORRECT,HIGH,Suspicious: ends with halant
माेबाइल,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
मेैं,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हेबिटस्,INCORRECT,HIGH,Suspicious: ends with halant
चौइस्,INCORRECT,HIGH,Suspicious: ends with halant
पूर्वग्रह्,INCORRECT,HIGH,Suspicious: ends with halant
मम्मम्,INCORRECT,HIGH,Suspicious: ends with halant
कुभ्भ्,INCORRECT,HIGH,Suspicious: ends with halant
कमप्लीट्,INCORRECT,HIGH,Suspicious: ends with halant
इनसिक्योर्,INCORRECT,HIGH,Suspicious: ends with halant
करीबन्,INCORRECT,HIGH,Suspicious: ends with halant
देख्,INCORRECT,HIGH,Suspicious: ends with halant
ऐक्चुअल्,INCORRECT,HIGH,Suspicious: ends with halant
चेस्,INCORRECT,HIGH,Suspicious: ends with halant
बल्,INCORRECT,HIGH,Suspicious: ends with halant
भीइइइइ,INCORRECT,HIGH,Invalid: triple character repetition
बागवान्,INCORRECT,HIGH,Suspicious: ends with halant
वहान्,INCORRECT,HIGH,Suspicious: ends with halant
शक्,INCORRECT,HIGH,Suspicious: ends with halant
कपूर्,INCORRECT,HIGH,Suspicious: ends with halant
ऊॅचाईये,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
रख्,INCORRECT,HIGH,Suspicious: ends with halant
अगर्,INCORRECT,HIGH,Suspicious: ends with halant
कुलीग्,INCORRECT,HIGH,Suspicious: ends with halant
जर्,INCORRECT,HIGH,Suspicious: ends with halant
खेेल,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
इंप्,INCORRECT,HIGH,Suspicious: ends with halant
मैैथमेटिक,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
फोटोस्,INCORRECT,HIGH,Suspicious: ends with halant
मेथोलॉजिकल्,INCORRECT,HIGH,Suspicious: ends with halant
उनिस्,INCORRECT,HIGH,Suspicious: ends with halant
ड्रिप्,INCORRECT,HIGH,Suspicious: ends with halant
मैैनें,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
म्आ्,INCORRECT,HIGH,Suspicious: ends with halant
फॉक्,INCORRECT,HIGH,Suspicious: ends with halant
मेाग,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
काआ्,INCORRECT,HIGH,Suspicious: ends with halant
आग्,INCORRECT,HIGH,Suspicious: ends with halant
ऑलमोस्,INCORRECT,HIGH,Suspicious: ends with halant
फ़िज़िकल्,INCORRECT,HIGH,Suspicious: ends with halant
गुड़ियाे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
पिररर,INCORRECT,HIGH,Invalid: triple character repetition
टवेलव्थ्,INCORRECT,HIGH,Suspicious: ends with halant
"जी,्",INCORRECT,HIGH,Suspicious: ends with halant
द्वेत्,INCORRECT,HIGH,Suspicious: ends with halant
अनुुप,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
मैनिफ़ेस्टेश्न्,INCORRECT,HIGH,Suspicious: ends with halant
दिनचर्याें,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
डिटेलस्,INCORRECT,HIGH,Suspicious: ends with halant
थेंक्,INCORRECT,HIGH,Suspicious: ends with halant
ब्रदरस्,INCORRECT,HIGH,Suspicious: ends with halant
एग्रीकल्,INCORRECT,HIGH,Suspicious: ends with halant
जीईईईई,INCORRECT,HIGH,Invalid: triple character repetition
हाआ्,INCORRECT,HIGH,Suspicious: ends with halant
प्रोउद्,INCORRECT,HIGH,Suspicious: ends with halant
चांसेेस,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
ढोग्,INCORRECT,HIGH,Suspicious: ends with halant
अल्,INCORRECT,HIGH,Suspicious: ends with halant
नही्,INCORRECT,HIGH,Suspicious: ends with halant
इंटरव्यूएरस्,INCORRECT,HIGH,Suspicious: ends with halant
क्येांकि,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हूम्म्,INCORRECT,HIGH,Suspicious: ends with halant
हहहहहहहह।,INCORRECT,HIGH,Invalid: triple character repetition
पीसीएम्,INCORRECT,HIGH,Suspicious: ends with halant
राह्,INCORRECT,HIGH,Suspicious: ends with halant
ऐट्,INCORRECT,HIGH,Suspicious: ends with halant
"की,तुम्",INCORRECT,HIGH,Suspicious: ends with halant
नेचर्,INCORRECT,HIGH,Suspicious: ends with halant
दर्,INCORRECT,HIGH,Suspicious: ends with halant
लड़कत्,INCORRECT,HIGH,Suspicious: ends with halant
बबब,INCORRECT,HIGH,Invalid: triple character repetition
एक्सपीरीयन्स्,INCORRECT,HIGH,Suspicious: ends with halant
कुतुर्,INCORRECT,HIGH,Suspicious: ends with halant
बिलक्,INCORRECT,HIGH,Suspicious: ends with halant
गिफ्,INCORRECT,HIGH,Suspicious: ends with halant
ब्रेकाअप्,INCORRECT,HIGH,Suspicious: ends with halant
समाेदित,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
नृत्,INCORRECT,HIGH,Suspicious: ends with halant
अॅड,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
थी्,INCORRECT,HIGH,Suspicious: ends with halant
फ्रेड्,INCORRECT,HIGH,Suspicious: ends with halant
हैंडीक्राफ्ट्,INCORRECT,HIGH,Suspicious: ends with halant
एक्यच्,INCORRECT,HIGH,Suspicious: ends with halant
ऐसाैऐसा,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
हम्म्म्म्,INCORRECT,HIGH,Suspicious: ends with halant
कौंसियस्,INCORRECT,HIGH,Suspicious: ends with halant
विशाखापत्नम्,INCORRECT,HIGH,Suspicious: ends with halant
ब्अब्,INCORRECT,HIGH,Suspicious: ends with halant
सर्कल्,INCORRECT,HIGH,Suspicious: ends with halant
इडियेटस्,INCORRECT,HIGH,Suspicious: ends with halant
राततत,INCORRECT,HIGH,Invalid: triple character repetition
वोदाा,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
टाेटल,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
अबबब.एक,INCORRECT,HIGH,Invalid: triple character repetition
हाेगए,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
आौर,INCORRECT,HIGH,Invalid: vowel sign after independent vowel
सांसससुर,INCORRECT,HIGH,Invalid: triple character repetition
बर्दाश्,INCORRECT,HIGH,Suspicious: ends with halant
प्रीमेच्,INCORRECT,HIGH,Suspicious: ends with halant
मिट्,INCORRECT,HIGH,Suspicious: ends with halant
मेट्,INCORRECT,HIGH,Suspicious: ends with halant
इंवेस्ट्,INCORRECT,HIGH,Suspicious: ends with halant
बीचेस्,INCORRECT,HIGH,Suspicious: ends with halant
रररर,INCORRECT,HIGH,Invalid: triple character repetition
ऐसेैसे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
वगेेरह,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
सुस्तान्,INCORRECT,HIGH,Suspicious: ends with halant
एंटिर्,INCORRECT,HIGH,Suspicious: ends with halant
ईंह्,INCORRECT,HIGH,Suspicious: ends with halant
अहह्,INCORRECT,HIGH,Suspicious: ends with halant
रएह्,INCORRECT,HIGH,Suspicious: ends with halant
नहीे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
आद्,INCORRECT,HIGH,Suspicious: ends with halant
मेै,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
गुड्,INCORRECT,HIGH,Suspicious: ends with halant
व्हेकेशन्स्,INCORRECT,HIGH,Suspicious: ends with halant
टअअअअ,INCORRECT,HIGH,Invalid: triple character repetition
सकताे,INCORRECT,HIGH,Invalid: repeated matra (ाा / ीी / etc.)
क्यूसन्,INCORRECT,HIGH,Suspicious: ends with halant
ऐहट्,INCORRECT,HIGH,Suspicious: ends with halant
चेंज्,INCORRECT,HIGH,Suspicious: ends with halant
एक्सपीरियंसड्,INCORRECT,HIGH,Suspicious: ends with halant
रिफ्,INCORRECT,HIGH,Suspicious: ends with halant
